marca,modelo,ano inicio,ano fim,link para o pdf,tipo de fixação,alerta,kit fixação,barras o-plus de alumínio,barras o-plus de aço,barras airo de alumínio,barras airo de alumínio com fixação,barras optima de aço,adaptador optima,alarme,barras transversais de alumínio opção 1,barras transversais de alumínio opção 2,barras transversais de aço,
Audi, A1 - 5 portas Sportback (8X),2012,2018, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-669.pdf?v=1616779281, B,6, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A1 - 5 portas Sportback (II - tecto normal),2018, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-863.pdf?v=1616779282, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 3 portas (8L),1996,2003, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/932-320.pdf?v=1616779278, B,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-ot105-921-000|59.715, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 3 portas (8P),2003,2012, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-413.pdf?v=1616779280, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 3 portas (8V),2012,2020, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-634.pdf?v=1616779281, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 5 portas Sportback (8L),1999,2003, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/932-320.pdf?v=1616779278, B,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-ot105-921-000|59.715, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 5 portas Sportback (8P - sem barras),2004,2012, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-414.pdf?v=1616779280, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 5 portas Sportback (8P - c/railing integrado),2004,2012, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-507.pdf?v=1616779294, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 5 portas Sportback (8V),2013,2020, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-674.pdf?v=1616779281, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 5 portas Sportback (8V - c/railing integrado),2013,2020, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-526.pdf?v=1616779311, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 5 portas Sportback (8Y - tecto normal),2020, , , B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - 4 portas Sedan (8Y - tecto normal),2020, , , B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A3 - sedan 4 portas (8V),2013,2020, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-779.pdf?v=1616779281, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 sedan - 4 portas (B5),1995,2001, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-731.pdf?v=1616779280, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at108-924-705|59.728, barras-de-tejadilho-em-aco-preto-cruz-oplus-st110-921-305|59.733, barras-de-tejadilho-em-aluminio-cruz-airo-t108-924-771|59.735, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 sedan - 4 portas (B6 - B7),2001,2008, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-054.pdf?v=1616779279, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 sedan - 4 portas (B8),2008,2015, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-451.pdf?v=1616779279, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 sedan - 4 portas (B9),2015, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-797.pdf?v=1616779280, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 - Avant (B5 com barras),1996,2001, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-cruz-airo-r118-924-793|59.742, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Audi, A4 - Avant (B6 com barras),2001,2005, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-cruz-airo-r118-924-793|59.742, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Audi, A4 - Avant (B7 com barras),2005,2008, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-cruz-airo-r118-924-793|59.742, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Audi, A4 - Allroad (B8 com barras),2009,2016, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r128-924-795|59.743, , barras-de-tejadilho-em-aco-transversais-cruz-oplus-sr-130-921-936|59.680,
Audi, A4 - Avant (B8 - c/railing integrado),2008,2015, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-511.pdf?v=1616779311, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 - Avant (B9.2 - c/railing integrado),2019,, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-511.pdf?v=1616779311, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 - Allroad (B9 - c/railing integrado),2015, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-511.pdf?v=1616779311, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A4 - Allroad (B9 - com barras),2016, , , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r128-924-795|59.743, , barras-de-tejadilho-em-aco-transversais-cruz-oplus-sr-130-921-936|59.680,
Audi, A5 - 5 portas Sportback (8TA),2009,2016, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-730.pdf?v=1616779280, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at128-924-715|59.724, barras-de-tejadilho-em-aco-preto-cruz-oplus-st130-921-315|59.732, barras-de-tejadilho-em-aluminio-cruz-airo-t128-924-775|59.737, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A6 sedan - 4 portas (C5),1997,2004, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/931-051.pdf?v=1616779277, B,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A6 sedan - 4 portas (C6),2004,2011, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-437.pdf?v=1616779281, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A6 Avant (C4 com barras),1994,1997, , R,3, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r128-924-795|59.743, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, barras-de-tejadilho-em-aco-transversais-cruz-oplus-sr-130-921-936|59.680,
Audi, A6 Avant (C5 - com barras),1997,2005, , R,3, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r128-924-795|59.743, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, barras-de-tejadilho-em-aco-transversais-cruz-oplus-sr-130-921-936|59.680,
Audi, A6 Avant (C6 - c/railing integrado),2005,2011, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-511.pdf?v=1616779311, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A6 Allroad (C5 com barras),2000,2006, , R,3, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r128-924-795|59.743, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, barras-de-tejadilho-em-aco-transversais-cruz-oplus-sr-130-921-936|59.680,
Audi, A6 Allroad (C6 - com barras),2006,2011, , R,3, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r128-924-795|59.743, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, barras-de-tejadilho-em-aco-transversais-cruz-oplus-sr-130-921-936|59.680,
Audi, A6 Allroad (C7 - com barras),2011, , , R,3, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r128-924-795|59.743, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, barras-de-tejadilho-em-aco-transversais-cruz-oplus-sr-130-921-936|59.680,
Audi, A6 Avant (C7 - c/railing integrado),2011,2018, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-511.pdf?v=1616779311, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, Audi A6 Avant (C8 - c/railing integrado),2018, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/936-591.pdf?v=1616779312, I,4, kit-de-fixacao-cruz-optiplus-rail-fix-936-5xx|59.763, , barras-de-tejadilho-em-aco-preto-cruz-oplus-s-fix-120-921-380|59.815, , barras-de-tejadilho-em-aluminio-cruz-airo-fix-118-925-703|59.746, , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, Q2 - 5 portas,2016, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-812.pdf?v=1616779281, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
